,Date,Type,Country,Activity,Sex,Fatal (Y/N),Year
3577,20-May-1966,Sea Disaster,AUSTRALIA,Sinking of the dredge World Atlas,M,Y,1966
3578,20-May-1966,Unprovoked,AUSTRALIA,Fishing,M,N,1966
3579,20-May-1966,Sea Disaster,AUSTRALIA,Shipwreck,M,Y,1966
3580,16-May-1966,Invalid,USA,Spearfishing / Scuba diving,M,,1966
3582,08-Apr-1966,Unprovoked,USA,Swimming,M,N,1966
3583,Apr-1966,Sea Disaster,AUSTRALIA,Overturned skiff,M,N,1966
3586,27-Feb-1966,Unprovoked,AUSTRALIA,Treading water,M,N,1966
3587,29-Jan-1966,Provoked,SOUTH AFRICA,Helping men land a shark,M,N,1966
3589,22-Jan-1966,Unprovoked,USA,Free diving / spearfishing (resting on the surface),M,N,1966
3590,15-Jan-1966,Unprovoked,AUSTRALIA,Spearfishing,M,N,1966
3592,11-Jan-1966,Unprovoked,SOUTH AFRICA,Standing,M,N,1966
3593,10-Jan-1966,Unprovoked,AUSTRALIA,Jumped into the water,M,N,1966
3594,09-Jan-1966,Unprovoked,SOUTH AFRICA,Body surfing,M,N,1966
3596,05-Jan-1966,Unprovoked,USA,Swimming,M,N,1966
3597,of 1996,Invalid,USA,Walking,F,,1996
3598,28-Dec-1965,Unprovoked,AUSTRALIA,"Spearfishing, but standing in knee-deep water",M,N,1965
3601,21-Nov-1965,Provoked,AUSTRALIA,Fishing from 34' boat when pulled overboard by hooked shark,M,Y,1965
3604,03-Nov-1965,Unprovoked,AUSTRALIA,Surfing,M,N,1965
3614,26-Aug-1965,Unprovoked,USA,Swimming,M,N,1965
3618,19-Jun-1965,Invalid,USA,Wading,M,,1965
3619,18-Jun-1965,Invalid,USA,"Diving, retrieving film package from Titan 3C rocket",M,,1965
3628,29-Apr-1965,Unprovoked,USA,,M,N,1965
3629,25-Apr-1965,Invalid,USA,Surfing,M,,1965
3630,10-Apr-1965,Unprovoked,USA,Spearfishing,M,N,1965
3632,04-Apr-1965,Unprovoked,USA,Paddling on surfboard,M,N,1965
3633,23-Mar-1965,Invalid,USA,Aircraft exploded,M,,1965
3634,14-Mar-1965,Unprovoked,USA,Free diving,M,N,1965
3635,14-Feb-1965,Unprovoked,SOUTH AFRICA,Treading water,M,N,1965
3636,04-Feb-1965,Unprovoked,USA,Scuba diving,M,N,1965
3637,25-Jan-1965,Invalid,USA,Motor boat Rebel Belle lost,M,,1965
3638,23-Jan-1965,Unprovoked,SOUTH AFRICA,Paddling rescue ski,M,N,1965
3639,16-Jan-1965,Unprovoked,SOUTH AFRICA,Body surfing,M,N,1965
3640,10-Jan-1965,Unprovoked,AUSTRALIA,Swimming,M,N,1965
3642,1965,Unprovoked,USA,Dangling feet in the water,M,N,1965
3643,1965,Provoked,USA,Surfing,M,N,1965
3644,1965,Provoked,USA,Collecting marine specimens,M,N,1965
3649,25-Dec-1964,Unprovoked,SOUTH AFRICA,Swimming,M,N,1964
3654,29-Nov-1964,Unprovoked,AUSTRALIA,Free diving with seals,M,N,1964
3655,18-Nov-1964,Unprovoked,AUSTRALIA,Swimming out to rescue swimmers in difficulty,M,Y,1964
3656,13-Nov-1964,Provoked,AUSTRALIA,"Filming underwater, carrying powerhead",M,N,1964
3658,31-Oct-1964,Provoked,SOUTH AFRICA,Surf fishing,M,N,1964
3660,04-Oct-1964,Unprovoked,AUSTRALIA,"Surfing, but swimming to his board",M,N,1964
3664,26-Aug-1964,Unprovoked,USA,Swimming,M,N,1964
3666,22-Aug-1964,Invalid,USA,Spearfishing / free diving,M,,1964
3667,21-Aug-1964,Unprovoked,USA,Swimming,M,N,1964
3668,08-Aug-1964,Unprovoked,USA,Spearfishing using scuba,M,N,1964
3671,27-Jul-1964,Provoked,USA,,M,N,1964
3672,16-Jul-1964,Unprovoked,SOUTH AFRICA,Searching for remains of  Dr. Marais,M,N,1964
3674,10-Jul-1964,Invalid,SOUTH AFRICA,Spearfishing ,M,Y,1964
3675,08-Jul-1964,Provoked,USA,Tagging sharks,M,N,1964
